Product Name,Form,Type,Presentation,Packaging,Suggested Intake,All Ingredients,Benefit Keywords
Collagen Tsubaki,Drink,Health Supplement,Glass bottle,"30ml/bottle, 10 bottles/pack, 6 packs/carton",1 bottle/day,"Fish Collagen Peptide, Isomerized Glucose Syrup, Camellia Seed Extract, Hyaluronic Acid, Acidifier, Spices, Lysine Hydrochloride, Vitamin B6, Vitamin B2","Hair Growth, Skin Beauty, Collagen Boost, Anti-Aging"
Vegetable Green Juice,Powder,Health Food,Aluminum Stick,"3g/stick, 50 sticks/package, 30 packages/carton",1 to 2 sticks/day (mix with 100ml water or milk),"Green Barley Powder, Indigestible Dextrin, Kale Powder, Angelica Keiskei Powder, Bitter Squash Powder, Trehalose, Cyclic Oligosaccharide","Detox, Nutrition, Immunity, Digestion, Fiber"
Glucosamine,Tablet,Health Supplement,Glass bottle,"360 tablets/bottle, 3 bottles/pack",6 to 12 tablets/day,"Glucosamine, Shark Cartilage Extract, Fish Collagen Peptide, MSM, Devil's Claw Extract, Crystalline Cellulose, Milk Sugar, Sucrose Fatty Acid Ester","Joint Health, Mobility, Anti-Inflammation, Cartilage Support"
Placenta Drink,Drink,Health Supplement,Glass bottle,"50ml/bottle, 10 bottles/pack, 6 packs/carton",1 bottle/day,"Placenta Extract, Yeast Extract, Protein Hydrolysate, Hyaluronic Acid, Vitamin B6, Vitamin B2, Niacin","Skincare, Anti-Aging, Hormone Balance, Hydration"
Amino Acid Drink,Drink,Health Supplement,Glass bottle,"50ml/bottle, 2 bottles/pack, 30 packs/carton",1 bottle/day,"L-Tryptophan, L-Leucine, L-Lysine, L-Valine, L-Threonine, L-Phenylalanine, L-Methionine, L-Isoleucine, L-Histidine, L-Arginine, L-Proline, L-Alanine, Glycine, Monosodium Glutamate, Taurine, Ornithine, Theanine, Vitamin B1, Collagen, Elastin, Vitamin B2, Vitamin B6","Energy, Muscle Recovery, Mood Boost, Protein Support"
Probiotic Sticks,Drink,Food,Stick,30 sticks/package,2 sticks/day,"Galactooligosaccharide, Water Soluble Dietary Fiber, Citric Acid, Lactic Acid Bacteria, Zinc Gluconate, Ferric Pyrophosphate, Flavors","Gut Health, Immunity, Digestion, Skin Health"
Caresite Hot,Cream,Cosmetic,Plastic Tube,"40g/tube, 24 tubes/carton",Apply an appropriate amount to affected areas,"Glucosamine, Hyaluronic Acid, Chondroitin, Collagen","Joint Support, Circulation, Warmth, Pain Relief"
Cool Refenda Patch,Patch,Medicine,Aluminum Pouch,6 patches/pack,Apply 1 to 2 patches as needed,"Methyl Salicylate, DL-Camphor, L-Menthol, Tocopheryl Acetate","Muscle Pain Relief, Cooling Effect, Joint Comfort, Swelling"
Hot Refenda Patch,Patch,Medicine,Aluminum Pouch,6 patches/pack,Apply 1 to 2 patches as needed,"Methyl Salicylate, DL-Camphor, L-Menthol, Tocopheryl Acetate, Black Pepper Extract","Muscle Pain Relief, Heat Therapy, Stiffness Relief, Circulation"
Collagen Drink +,Drink,Soft Drink,100ml Glass Bottle,10 bottles/box,1 bottle/day,"Collagen, Placenta, Hyaluronic Acid, Elastin, Ceramide, Royal Jelly, Vitamin C","Skincare, Anti-Aging, Moisturizing, Beauty Enhancement"
Energy drink,Drink,Health Supplement,50ml Glass Bottle,10 bottles/pack,1 bottle/day,"Caffeine, Vitamin B6, Maca, Guarana","Energy Boost, Focus, Physical Stamina, Alertness"
Japanese Burdock Root Tea,Tablet,Health Food,Aluminum Pouch or Box,20 tea bags/pouch or box,1 to 2 tea bags per serving,"Japanese Burdock Root Skin, Silicon","Detox, Blood Sugar Support, Digestion, Antioxidant"
Skin Peel Gel,Face Gel,Beauty Supplement,Plastic Container,"150g/bottle, 6 bottles/package, 30 packages/carton",Apply to skin and gently massage,"Water, Glycerine, BG, Sodium Hyaluronate, Carrot Root Extract, White Mulberry Extract, Lychee Seed Extract, Allantoin, Menthol","Exfoliation, Skin Renewal, Brightening, Hydration"
CoQ10 Cream,Face Cream,Beauty Supplement,Plastic Container,"50g/container, 6 containers/box, 120 boxes/carton",Apply to face,"Water, Ubiquinone (CoQ10), BG, Sodium Hyaluronate, Ceramide 3, Water-Soluble Collagen, Tocopherol Acetate, Jojoba Oil, Squalane, Behenyl Alcohol, Stearoyl Lactylate, Polyglyceryl-10 Stearate, Glyceryl Stearate (SE), Polysorbate 60, Isopropylmyristate, Dimethicone, Carbomer, Sodium Hydroxide, Propylparaben, Methylparaben, Iron Oxide","Anti-Wrinkle, Skin Firmness, Moisturizing, Antioxidant"
